Operator,Scheme Name,Area,Approval Number,Recovery Method,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Cenovus,,Cold Lake,11634C,Primary,25.37,25.61,23.71,19.55,16.7,14.38,15.53,13.41,14.47,14.01,8.65,5.26,2012
CNRL,,Cold Lake,11643A,Primary,27.71,26.04,29.67,30.15,26.71,28.85,25.78,26.11,26.46,24.65,25.48,26.38,2012
CNRL,,Cold Lake,11644A,Primary,32.06,33.24,28.57,29.37,29.77,28.57,30.55,24.17,27.34,28.41,40.32,41.09,2012
CNRL,,Cold Lake,11645A,Primary,13.44,13.62,12.98,15.39,14.89,14.04,14.16,11.77,9.98,15.21,22.11,17.9,2012
CNRL,,Cold Lake,11646A,Primary,5.48,4.13,6.12,6.15,5.22,4.0,5.3,6.02,4.77,4.28,0.52,3.92,2012
CNRL,,Cold Lake,11647A,Primary,33.65,27.62,33.91,27.86,26.52,28.15,37.64,30.9,33.71,29.32,101.58,98.58,2012
CNRL,,Athabasca,11676,Primary,0.0,0.0,0.0,0.0,0.0,12.07,20.63,23.85,17.55,20.15,18.2,15.33,2012
Shell,,Peace River,11692,Primary,0.0,0.0,0.0,0.0,0.0,6.79,4.77,5.92,6.02,5.87,5.8,3.92,2012
Shell,,Peace River,11693,Primary,0.0,0.0,0.0,0.0,0.0,8.19,4.76,8.3,6.11,6.51,8.5,6.65,2012
CNRL,,Cold Lake,11720,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
CNRL,,Cold Lake,11722,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012
CNRL,,Cold Lake,11724,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.57,13.81,2012
Cenovus,,Cold Lake,11726,Primary,14.16,14.69,14.05,13.81,14.05,12.96,8.79,12.87,11.87,8.45,,,2012
Cenovus,,Cold Lake,11729,Primary,33.42,38.36,32.13,28.03,34.98,30.61,30.34,26.35,25.68,30.46,,,2012
Cenovus,,Cold Lake,11730,Primary,1.7,0.86,1.3,1.48,2.37,2.58,1.3,3.47,2.16,3.08,,,2012
CNRL,,Cold Lake,11751,Primary,4.74,3.39,9.78,2.82,4.44,5.39,6.86,4.26,0.21,4.4,20.45,50.58,2012
Husky,,Cold Lake,11822,Primary,0.0,0.0,0.0,10.59,7.62,0.66,0.0,0.0,0.0,0.0,0.92,3.23,2012
Bonavista,,Cold Lake,11885,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,2012
Baytex,,Cold Lake,11945,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.81,15.18,15.52,2012
CNRL,,Cold Lake,4746T,Primary,652.17,639.94,621.8,690.04,822.84,757.62,842.16,253.25,309.07,891.66,1015.4,1010.32,2012
CNRL,,Cold Lake,5692D,Primary,1.2,1.03,0.0,0.0,0.75,0.5,0.0,0.98,0.51,1.07,1.53,2.32,2012
CNRL,,Cold Lake,6280F,Primary,456.88,505.93,471.65,450.33,472.22,466.29,485.17,467.54,487.2,445.36,520.24,472.96,2012
CNRL,,Athabasca,6619AA,Primary,125.55,114.5,104.68,77.99,100.39,124.92,110.48,104.95,106.09,105.8,71.27,55.05,2012
CNRL,,Cold Lake,6726L,Primary,230.06,227.28,193.45,243.48,340.13,362.15,380.75,363.87,338.82,377.5,368.4,358.02,2012
CNRL,,Cold Lake,6764D,Primary,0.0,0.37,0.15,0.0,0.0,1.39,3.31,4.78,4.03,3.11,0.33,2.11,2012
Twin Butte Energy Ltd.,,Cold Lake,7164L,Primary,60.53,70.07,80.27,74.07,82.57,75.83,51.28,59.95,71.77,53.47,62.88,75.12,2012
CNRL,,Cold Lake,7389D,Primary,58.89,56.17,48.91,50.45,48.2,44.91,38.34,39.38,41.06,39.25,34.69,37.14,2012
Bonavista,,Cold Lake,7515D,Primary,79.44,88.5,89.62,74.24,81.6,79.45,64.96,61.7,62.05,67.13,73.06,66.01,2012
BlackPearl,,Cold Lake,7920J,Primary,52.68,98.66,94.29,80.99,73.54,63.39,80.66,96.69,113.02,96.61,104.04,107.14,2012
Devon,,Cold Lake,7936K,Primary,4619.07,4820.55,4712.3,4570.68,4559.5,4259.45,4217.1,4208.92,4182.74,3998.95,3753.42,3956.75,2012
Husky,,Cold Lake,7990K,Primary,126.17,126.85,147.24,158.77,178.7,162.39,180.09,169.96,158.86,143.57,143.89,146.25,2012
CNRL,,Cold Lake,8002E,Primary,11.82,9.57,10.79,12.26,11.24,12.18,13.23,12.16,10.03,12.41,10.73,11.06,2012
CNRL,,Cold Lake,8017D,Primary,14.13,12.8,13.37,16.44,21.77,21.9,26.04,28.86,24.94,29.78,26.19,25.46,2012
CNRL,,Cold Lake,8018D,Primary,233.69,241.7,284.86,313.12,309.21,262.98,284.66,277.39,237.83,149.88,205.27,286.06,2012
CNRL,,Cold Lake,8035A,Primary,15.3,8.94,18.89,16.76,15.5,11.48,8.97,13.66,11.06,8.57,7.78,9.03,2012
CNRL,,Cold Lake,8042J,Primary,1628.9,1674.08,1640.36,1571.94,1619.45,1665.63,1729.69,1860.47,1979.52,2042.18,2241.08,2227.12,2012
CNRL,,Cold Lake,8043B,Primary,227.3,244.22,239.45,224.83,230.48,219.2,209.74,209.0,202.57,205.12,207.69,175.27,2012
CNRL,,Cold Lake,8069G,Primary,606.55,561.41,635.99,650.53,651.69,691.55,488.2,493.01,455.99,446.17,438.73,376.82,2012
CNRL,,Cold Lake,8087A,Primary,4.02,4.58,3.42,4.07,4.34,3.09,2.99,2.25,3.74,3.11,2.83,3.33,2012
CNRL,,Cold Lake,8161E,Primary,82.29,83.54,93.24,98.35,107.08,105.53,88.1,120.49,121.66,105.56,120.1,102.81,2012
CNRL,,Cold Lake,8162G,Primary,342.06,323.24,343.16,318.91,395.15,461.99,429.36,459.31,446.52,488.39,473.2,446.98,2012
CNRL,,Cold Lake,8179C,Primary,13.75,10.9,13.53,9.42,8.09,16.1,11.03,11.72,12.9,10.42,11.89,7.77,2012
CNRL,,Cold Lake,8180B,Primary,5.31,0.66,0.0,0.0,0.0,0.0,1.91,0.0,0.0,,,,2012
Devon,,Cold Lake,8202A,Primary,122.58,114.08,111.41,93.25,103.49,93.73,81.9,99.21,84.1,78.61,83.73,66.5,2012
CNRL,,Cold Lake,8207B,Primary,2.27,1.28,1.83,0.91,2.68,1.33,1.85,1.61,1.68,1.11,0.74,0.91,2012
CNRL,,Cold Lake,8215C,Primary,118.87,130.34,123.82,114.47,126.67,137.6,121.63,113.54,126.62,114.8,109.58,99.59,2012
CNRL,,Cold Lake,8319,Primary,52.86,57.08,59.72,58.45,50.48,55.88,49.65,50.37,52.91,51.1,49.11,40.38,2012
Baytex,,Cold Lake,8341C,Primary,29.89,22.06,24.32,24.85,43.15,48.01,41.58,47.98,56.69,34.4,39.5,37.62,2012
CNRL,,Cold Lake,8434A,Primary,0.71,0.0,0.56,0.52,0.0,0.14,,,,,,,2012
CNRL,,Cold Lake,8536A,Primary,10.46,13.72,11.1,9.63,13.78,5.27,3.75,11.91,6.96,7.52,9.47,6.19,2012
Devon,,Cold Lake,8611A,Primary,35.64,45.43,46.37,25.63,22.86,18.74,16.41,15.32,23.0,18.69,15.9,13.44,2012
Husky,,Cold Lake,8655B,Primary,3.57,4.05,4.14,2.64,5.99,6.9,6.23,4.95,4.08,7.67,5.46,7.97,2012
Husky,,Athabasca,8756D,Primary,442.99,492.52,556.31,690.19,684.11,673.78,635.41,644.13,710.18,712.3,736.51,701.69,2012
Harvest Operations Corp.,,Cold Lake,8845B,Primary,4.09,4.01,3.53,0.68,6.77,6.96,3.79,4.44,3.91,2.77,5.73,4.68,2012
CNRL,,Cold Lake,8908J,Primary,884.22,850.2,800.73,754.71,749.79,698.83,733.69,707.03,689.48,669.26,644.31,625.22,2012
Buffalo Resources Corp.,,Cold Lake,8932C,Primary,9.91,9.8,9.44,11.69,11.59,7.3,8.52,8.46,8.77,4.43,2.37,1.64,2012
Shell,,Peace River,8972E,Primary,203.55,202.93,308.86,321.29,325.62,248.06,279.48,274.54,133.13,229.18,223.5,206.23,2012
CNRL,,Athabasca,8993D,Primary,206.63,246.49,151.8,141.8,247.43,191.85,188.55,164.52,177.39,153.98,197.21,117.86,2012
CNRL,,Cold Lake,9006B,Primary,81.79,72.31,69.6,62.07,92.28,59.7,91.38,93.75,74.78,85.36,72.2,66.04,2012
Devon,,Cold Lake,9148,Primary,12.9,14.57,18.64,12.46,15.11,18.0,23.27,12.52,15.04,11.44,13.56,11.58,2012
Imperial,,Cold Lake,9158B,Primary,56.69,56.88,55.84,56.87,53.64,50.03,43.04,46.52,45.59,43.5,43.85,36.33,2012
Harvest Operations Corp.,,Cold Lake,9266B,Primary,55.73,50.29,56.27,55.22,55.77,50.88,51.98,58.44,57.37,52.41,50.77,53.19,2012
Baytex,,Cold Lake,9278I,Primary,84.75,85.86,88.42,101.11,106.96,115.13,84.54,99.07,114.33,80.61,136.49,145.22,2012
Crispin Energy Inc.,,Cold Lake,9313,Primary,5.52,3.3,3.06,3.06,3.32,3.13,4.97,2.04,1.96,3.22,1.63,2.51,2012
CNRL,,Cold Lake,9340,Primary,107.77,122.54,107.06,100.61,104.84,110.59,99.1,89.23,95.22,103.15,96.45,70.64,2012
CNRL,,Cold Lake,9349C,Primary,173.91,169.24,157.94,135.2,141.47,137.95,132.71,123.6,123.78,136.03,136.53,132.98,2012
CNRL,,Cold Lake,9387L,Primary,640.69,619.49,611.5,553.69,707.04,770.21,927.31,1067.42,1145.41,1119.54,1120.18,1065.47,2012
CNRL,,Cold Lake,9415R,Primary,1550.89,1525.25,579.01,593.66,619.28,575.89,565.51,599.25,582.25,617.7,686.77,654.1,2012
Bonavista,,Cold Lake,9427C,Primary,36.78,41.58,36.33,43.05,49.21,41.53,51.32,39.43,45.15,42.99,45.45,47.46,2012
CNRL,,Athabasca,9466P,Primary,355.07,366.47,355.77,309.57,350.45,386.48,344.12,324.44,357.95,120.95,91.82,81.25,2012
Husky,,Cold Lake,9504A,Primary,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.63,2012
Baytex,,Cold Lake,9579C,Primary,17.82,21.47,21.05,16.1,35.72,37.88,26.92,39.23,34.03,30.57,50.22,57.28,2012
Penn West,,Peace River,9607C,Primary,138.4,119.41,127.7,145.2,150.32,115.96,98.92,108.88,107.12,126.25,106.3,94.84,2012
Imperial,,Cold Lake,9631,Primary,394.38,379.55,386.71,371.22,383.4,362.71,340.8,340.36,325.17,326.15,318.28,339.58,2012
Shell,,Peace River,9727C,Primary,302.94,339.02,255.13,308.38,316.38,296.43,271.05,299.19,109.65,265.43,288.92,278.06,2012
Bronco Energy Ltd.,,Athabasca,9774E,Primary,20.0,15.27,15.84,29.72,35.56,28.86,25.18,28.75,31.29,15.63,6.3,23.3,2012
Devon,,Cold Lake,9821,Primary,2.85,3.44,2.44,0.68,2.97,2.06,1.6,3.08,3.25,2.05,2.75,4.52,2012
Frog Lake Energy Resources Corp.,,Cold Lake,9827D,Primary,77.25,86.18,84.02,82.1,84.72,81.47,82.16,84.84,103.52,127.96,148.17,155.95,2012
Husky,,Cold Lake,9873B,Primary,46.27,55.46,73.89,98.89,106.99,143.31,116.11,49.39,102.49,174.16,143.47,216.34,2012
CNRL,,Athabasca,9884F,Primary,63.4,61.84,67.79,57.96,62.77,68.53,55.83,61.39,59.74,51.65,49.18,25.28,2012
Baytex,Cliffdale Pilot,Peace River,11034I,Commercial-CSS,97.04,83.09,62.25,91.99,51.21,37.71,69.78,129.5,88.8,44.71,82.05,101.99,2013
Penn West,Seal,Peace River,11377B,Commercial-CSS,24.47,20.79,17.05,10.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Baytex,Harmon Valley Pilot,Peace River,11551,Commercial-CSS,4.7,4.08,6.23,2.8,4.36,3.79,3.43,3.4,1.23,3.5,5.23,1.27,2013
Murphy,Seal,Peace River,11778B,Commercial-CSS,0.0,0.0,0.0,0.09,0.0,0.0,2.6,6.75,0.69,11.68,20.8,9.48,2013
Penn West,Harmon Valley South Thermal Pilot,Peace River,11895A,Commercial-CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Laricina Energy Ltd.,Saleski Phase 1,Athabasca,12087A,Commercial-CSS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
Shell,Peace River / Carmon Creek,Peace River,8143R,Commercial-CSS,791.17,653.65,554.71,718.78,693.19,617.83,746.02,873.21,869.17,514.46,808.42,720.12,2013
Imperial,Cold Lake,Cold Lake,8558DD,Commercial-CSS,26322.25,25871.56,26080.22,21818.49,22885.22,23886.65,23026.55,23616.72,23619.97,24386.58,24993.98,24649.31,2013
CNRL,Primrose and Wolf Lake,Cold Lake,9140S,Commercial-CSS,19945.02,17077.29,14237.25,13426.95,13100.3,15890.83,19279.48,19094.1,13275.98,13723.84,10963.17,10738.13,2013
Devon,Jackfish ,Athabasca,10097R,Commercial-SAGD,9099.8,9186.72,9201.35,8890.71,9729.97,9272.5,9233.09,7717.07,8579.51,9451.48,9415.41,8999.76,2013
Shell,Orion,Cold Lake,10103G,Commercial-SAGD,701.21,781.26,866.75,827.37,912.69,800.84,927.05,940.06,894.63,900.18,922.98,963.0,2013
Connacher Oil And Gas Limited,Great Divide,Athabasca,10587O,Commercial-SAGD,1915.45,2061.23,1947.96,1814.47,1711.83,2004.15,1880.38,1827.0,1913.79,1881.36,1804.6,1736.64,2013
MEG,Christina Lake,Athabasca,10773W,Commercial-SAGD,5068.39,5189.93,5275.17,5383.34,4615.27,5308.79,5488.19,5452.9,5445.21,5900.83,6495.19,7720.0,2013
Statoil Canada Ltd.,Leismer,Athabasca,10935L,Commercial-SAGD,1654.67,1779.69,2004.24,1928.37,1900.94,1075.86,1694.19,2145.6,1931.54,1662.07,1722.91,1721.44,2013
Southern Pacific Resource Corp.,STP McKay,Athabasca,11461F,Commercial-SAGD,227.08,201.6,154.2,142.66,163.97,184.56,207.4,306.86,362.29,351.88,272.53,284.15,2013
Cenovus,Pelican Lake,Athabasca,11469B,Commercial-SAGD,17.42,16.7,50.97,44.19,36.74,17.9,28.74,74.3,54.58,73.85,59.95,40.41,2013
CNRL,Kirby South,Athabasca,11475I,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,187.84,302.07,260.27,2013
Laricina Energy Ltd.,Germain,Athabasca,11509E,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2.13,2.3,1.45,2013
BlackPearl,Blackrod,Athabasca,11522E,Commercial-SAGD,25.4,4.83,6.8,4.23,24.17,96.12,65.48,52.04,25.98,55.02,40.26,32.19,2013
Pengrowth,Lindbergh Pilot,Cold Lake,6410I,Commercial-SAGD,257.9,267.52,272.35,188.5,395.89,362.47,322.1,318.72,318.02,308.03,291.18,212.98,2013
Cenovus,Christina Lake,Athabasca,8591FF,Commercial-SAGD,14713.94,14234.13,13493.49,14749.02,10927.99,10949.14,16302.79,16956.89,16832.16,19484.38,18962.66,20268.64,2013
Cenovus,Foster Creek,Athabasca,8623OO,Commercial-SAGD,17475.62,18180.61,17852.97,17489.02,17614.89,17575.82,15776.68,17696.4,13298.63,14368.96,17357.81,18223.54,2013
Suncor,Mackay River,Athabasca,8668U,Commercial-SAGD,4151.86,4797.8,4654.25,4688.54,4702.35,4052.02,4690.52,4802.69,4402.57,4120.89,4589.83,4765.16,2013
Japan Canada Oil Sands Limited,Hangingstone,Athabasca,8788I,Commercial-SAGD,899.18,991.69,1036.86,657.33,982.58,919.54,969.63,1016.92,1034.7,948.06,980.73,895.83,2013
Suncor,Firebag,Athabasca,8870XX,Commercial-SAGD,21470.19,22096.54,21809.29,21769.08,17363.31,23059.47,23616.23,24878.0,24557.06,23839.49,25239.21,24451.65,2013
Suncor,Dover,Athabasca,9044J,Commercial-SAGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
ConocoPhillips,Surmont,Athabasca,9426Y,Commercial-SAGD,3878.74,3845.17,3767.01,3925.69,3735.56,3953.33,4114.74,4193.1,4270.86,4220.88,4142.4,4317.37,2013
ConocoPhillips,Surmont Pilot,Athabasca,9460E,Commercial-SAGD,83.31,90.34,86.38,94.87,84.55,86.89,81.67,83.55,78.09,78.13,114.78,107.15,2013
Nexen,Long Lake,Athabasca,9485X,Commercial-SAGD,4552.68,5261.35,6491.87,5678.9,6057.38,4839.21,4991.87,5748.75,6578.66,6300.49,6558.66,6656.1,2013
Husky,Tucker Lake ,Cold Lake,9835J,Commercial-SAGD,1604.01,1587.08,1651.72,1709.54,1728.22,1678.65,751.99,1880.65,1768.57,1745.1,1832.97,1746.04,2013
CNRL,Brintnell,Athabasca,10147F,Enhanced Recovery,452.16,396.53,457.89,412.04,367.27,439.67,449.55,464.35,377.38,436.98,454.49,458.85,2013
CNRL,Brintnell,Athabasca,10423L,Enhanced Recovery,3213.66,3288.58,3370.59,3273.07,3282.78,3722.04,3795.59,3820.05,3865.67,3743.17,3793.43,3667.61,2013
Cenovus,EnCAID,Athabasca,10440J,Enhanced Recovery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
CNRL,Brintnell,Athabasca,10787L,Enhanced Recovery,1507.46,1519.46,1249.43,1137.55,1330.63,1666.3,1517.5,1498.76,1594.32,1657.91,1502.78,1670.55,2013
Murphy,Seal,Peace River,11320B,Enhanced Recovery,27.42,12.19,28.32,37.92,34.56,38.11,38.51,26.85,22.71,32.4,35.72,47.54,2013
Cenovus,AIDROH,Athabasca,11618,Enhanced Recovery,5.37,5.06,0.0,1.4,4.78,3.9,5.15,8.39,12.27,12.87,14.05,13.46,2013
Cenovus,Brintnell,Athabasca,9404V,Enhanced Recovery,3751.16,3800.56,3792.14,3829.04,3857.68,3736.79,3842.03,4016.85,3996.09,3913.57,3831.92,3932.14,2013
CNRL,Brintnell,Athabasca,9673N,Enhanced Recovery,502.5,895.57,1037.78,1132.66,1261.49,1238.4,1200.56,1211.13,1188.62,1213.22,1388.18,1393.11,2013
E-T Energy Ltd.,Poplar Creek,Athabasca,10457H,Experimental,2.87,3.9,3.62,2.85,2.51,,,,,,,,2013
Imperial,SA-SAGD,Cold Lake,10689D,Experimental,88.65,84.21,85.86,80.08,100.96,128.29,110.2,87.67,93.16,91.85,61.59,90.89,2013
Petrobank Energy and Resources Ltd.,Dawson Pilot Project,Peace River,11515D,Experimental,3.81,3.14,3.03,1.9,1.18,1.05,0.07,0.0,0.0,0.0,0.0,0.0,2013
Baytex,,Peace River,10070I,Primary,304.6,341.2,349.11,309.9,337.12,295.11,215.87,294.6,240.28,256.82,264.68,238.15,2013
CNRL,,Cold Lake,10154E,Primary,89.78,81.86,93.86,102.96,89.96,97.73,83.47,74.63,78.34,72.6,66.72,68.46,2013
Penn West,,Peace River,10174D,Primary,276.11,249.19,238.06,207.14,225.09,205.22,198.49,190.4,199.04,246.96,265.29,310.19,2013
Husky,,Cold Lake,10259,Primary,25.95,25.9,23.93,21.42,22.05,21.96,20.98,24.0,25.68,25.38,25.99,20.71,2013
Devon,,Cold Lake,10310A,Primary,6.43,8.05,8.1,6.9,7.85,6.88,6.62,7.09,5.92,6.05,8.01,5.25,2013
Murphy,,Peace River,10329F,Primary,878.36,666.09,994.7,1102.97,989.07,940.83,887.15,798.48,679.13,902.83,862.29,835.12,2013
Baytex,,Peace River,10391H,Primary,2354.11,2490.84,2761.15,2750.64,3254.63,3846.37,3884.25,3897.51,3578.36,3578.55,3542.44,3199.6,2013
Husky,,Peace River,10412C,Primary,273.56,253.03,214.66,212.34,173.09,245.34,215.59,220.89,223.71,214.72,205.68,230.08,2013
CNRL,,Cold Lake,10454A,Primary,8.53,7.34,5.77,6.67,5.32,7.69,6.03,7.6,5.84,7.73,6.57,6.76,2013
CNRL,,Cold Lake,10459,Primary,21.31,18.74,22.39,21.72,14.5,15.41,16.23,22.51,17.54,17.21,15.84,12.17,2013
CNRL,,Cold Lake,10471,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2013
CNRL,,Cold Lake,10518F,Primary,1173.17,1189.21,1209.46,1141.24,1167.13,1183.89,1147.25,1113.79,1049.96,1044.24,946.45,832.26,2013
Murphy,,Peace River,10532E,Primary,75.14,57.13,71.2,66.79,60.22,53.83,51.99,58.94,60.72,32.91,58.01,40.6,2013
CNRL,,Cold Lake,10547,Primary,50.07,49.44,54.62,50.18,54.57,54.18,47.76,49.69,43.69,44.82,39.16,42.07,2013
Shell,,Peace River,10557G,Primary,1798.45,1836.84,1701.46,1660.25,1627.67,1611.66,1590.68,1513.42,1528.9,1622.86,1526.63,1491.98,2013
Husky,,Cold Lake,10597A,Primary,68.95,64.48,64.92,74.57,80.05,50.49,58.35,46.65,51.16,61.13,60.87,53.9,2013
CNRL,,Cold Lake,10618F,Primary,305.01,281.47,246.14,255.26,232.03,220.53,214.53,249.05,228.28,228.68,195.94,182.47,2013
Husky,,Cold Lake,10619J,Primary,306.73,312.13,332.71,392.38,393.52,414.45,385.54,359.04,439.14,430.89,330.67,377.73,2013
Action Energy Inc.,,Cold Lake,10631A,Primary,0.0,0.4,2.61,2.14,1.27,2.17,1.25,1.31,1.52,0.96,0.83,1.69,2013
Penn West,,Peace River,10647F,Primary,16.26,15.48,15.25,15.22,14.62,13.86,12.15,8.08,13.31,13.27,13.43,12.01,2013
CNRL,,Cold Lake,10725,Primary,6.56,7.3,6.6,6.57,7.12,4.01,2.56,2.19,3.15,2.88,3.21,2.28,2013
Penn West,,Peace River,10745C,Primary,60.57,63.94,60.15,52.98,52.17,50.11,48.3,51.31,51.94,34.03,29.39,83.53,2013
Husky,,Cold Lake,10812B,Primary,72.38,72.65,56.2,60.63,56.81,50.67,57.99,46.98,48.35,43.51,32.28,31.88,2013
Devon,,Cold Lake,10828A,Primary,226.41,224.47,231.79,228.47,210.19,211.87,255.79,206.78,240.13,253.15,218.0,144.36,2013
Bonavista,,Cold Lake,10853A,Primary,2.9,4.44,5.09,6.4,2.53,6.32,4.34,5.86,3.86,6.76,5.51,5.52,2013
CNRL,,Cold Lake,10882,Primary,10.51,8.8,8.08,9.25,7.42,5.5,7.7,6.34,6.32,6.44,3.6,5.2,2013
Murphy,,Peace River,10915B,Primary,1.48,0.0,4.59,2.83,2.05,2.43,5.61,4.05,3.43,2.58,4.21,2.04,2013
CNRL,,Cold Lake,11016A,Primary,547.19,556.51,549.57,540.04,545.81,502.51,506.81,505.74,480.23,435.85,454.86,465.87,2013
Husky,,Cold Lake,11041D,Primary,69.63,79.56,70.29,85.0,85.7,74.8,89.52,81.65,73.65,87.55,76.53,77.08,2013
Penn West,,Peace River,11060F,Primary,197.12,190.63,210.1,221.84,214.25,203.22,208.75,218.49,212.76,193.88,172.59,212.24,2013
CNRL,,Cold Lake,11188B,Primary,333.58,327.83,343.43,328.97,359.15,374.27,365.0,370.82,344.74,346.89,299.86,365.09,2013
Twin Butte Energy Ltd.,,Cold Lake,11191A,Primary,40.36,66.46,63.16,41.89,88.54,68.03,82.48,78.03,89.15,82.85,83.13,64.95,2013
Husky,,Cold Lake,11192,Primary,32.53,23.36,23.58,23.3,17.72,17.59,15.83,14.23,12.13,13.21,10.92,7.09,2013
Husky,,Cold Lake,11205,Primary,5.09,0.09,1.22,5.15,7.26,7.4,15.93,12.13,9.28,5.47,5.33,4.07,2013
Koch,,Peace River,11220,Primary,17.1,14.22,2.61,3.8,4.4,3.45,10.45,11.06,10.5,5.34,10.17,12.47,2013
CNRL,,Cold Lake,11227C,Primary,14.1,9.07,7.25,6.1,7.04,8.89,9.86,6.43,8.64,7.16,7.87,6.59,2013
Husky,,Cold Lake,11246B,Primary,44.54,36.15,37.09,38.01,27.82,28.66,47.03,56.86,73.52,82.67,67.4,76.6,2013
Twin Butte Energy Ltd.,,Cold Lake,11256D,Primary,751.41,786.66,747.88,714.6,717.45,659.63,635.87,634.36,571.41,574.46,544.96,479.32,2013
Husky,,Cold Lake,11275,Primary,0.02,1.12,0.04,0.0,0.0,0.0,0.73,0.16,0.0,0.0,0.21,0.71,2013
Husky,,Cold Lake,11287A,Primary,15.65,18.8,11.46,12.83,12.84,15.5,13.42,15.15,14.97,14.82,16.36,6.85,2013
Murphy,,Peace River,11306A,Primary,114.51,57.22,159.37,137.16,106.59,90.06,104.56,101.03,105.28,113.91,102.5,88.23,2013
Baytex,,Peace River,11327A,Primary,4.95,2.13,6.38,2.78,5.04,3.52,3.6,3.68,2.96,3.04,3.54,2.77,2013
Husky,,Cold Lake,11350,Primary,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,,,2013
Husky,,Cold Lake,11362,Primary,0.5,0.44,0.45,0.0,0.71,0.0,0.01,0.0,0.0,0.0,0.0,0.07,2013
Sunshine Oilsands Ltd.,,Athabasca,11382C,Primary,60.15,71.65,62.55,41.04,45.61,41.66,26.89,23.45,24.42,19.63,19.02,17.93,2013
CNRL,,Cold Lake,11383,Primary,34.56,40.93,41.13,40.22,34.52,32.52,31.85,34.13,33.65,33.69,29.09,26.69,2013
CNRL,,Cold Lake,11428C,Primary,1029.58,1000.88,881.47,938.28,952.73,915.87,887.6,874.23,846.63,823.42,879.34,782.16,2013
Solara Exploration Ltd.,,Cold Lake,11429A,Primary,9.83,10.69,11.79,9.07,12.3,12.04,10.08,9.64,13.35,12.79,9.01,12.74,2013
Baytex,,Peace River,11437A,Primary,3.2,6.88,9.68,5.1,8.41,6.46,4.61,8.31,5.07,3.48,6.43,6.21,2013
Husky,,Cold Lake,11450,Primary,10.78,10.56,5.13,4.92,6.67,4.78,8.0,9.12,6.87,10.08,6.14,4.95,2013
CNRL,,Cold Lake,11477A,Primary,210.48,216.61,206.42,209.31,216.6,187.05,208.38,206.84,227.03,256.45,253.51,251.5,2013
CNRL,,Athabasca,11480A,Primary,1632.55,1900.88,2012.26,1955.94,2140.08,2068.31,2261.64,2627.04,2741.11,2023.53,2088.12,2463.4,2013
CNRL,,Cold Lake,11481,Primary,0.69,0.78,0.69,1.47,1.11,1.12,1.4,0.71,0.84,1.41,0.7,0.79,2013
Husky,,Athabasca,11501,Primary,125.31,120.98,111.87,114.43,107.69,97.27,104.34,87.07,97.1,94.99,98.13,96.37,2013
CNRL,,Cold Lake,11503A,Primary,51.67,57.13,46.61,32.11,34.42,44.14,42.09,48.97,46.27,58.59,58.53,63.74,2013
CNRL,,Cold Lake,11538,Primary,5.71,9.0,14.28,2.81,2.34,7.15,8.11,7.75,8.17,13.69,9.73,5.1,2013
Bellatrix Exploration Ltd.,,Cold Lake,11545,Primary,17.59,19.01,20.36,20.91,21.45,20.34,16.75,21.54,19.99,19.43,18.41,14.42,2013
Shell,,Peace River,11556,Primary,0.0,0.0,0.0,0.0,0.0,0.0,134.41,316.43,394.97,386.39,362.3,321.2,2013
Shell,,Peace River,11557,Primary,12.56,12.78,11.98,9.7,11.4,9.05,9.88,12.09,11.61,10.87,0.07,3.01,2013
CNRL,,Cold Lake,11566,Primary,0.62,0.24,0.0,1.73,0.29,0.09,0.75,0.73,1.32,2.95,0.15,0.05,2013
Cenovus,,Cold Lake,11567,Primary,7.78,16.31,15.79,12.71,14.82,13.53,13.93,11.81,8.36,8.96,8.16,7.74,2013
CNRL,,Cold Lake,11574A,Primary,144.64,138.99,109.45,119.79,119.6,94.3,104.85,133.58,125.1,125.1,104.37,113.99,2013
